task,source,target,distance_mode,partition,partition_description,class_count,common_points,mean_domain_distance,locality_peak_ratio,locality_top20_mass,temporal_variation_ratio,partition_compression,complexity_adjusted_compression,segment_contrast,boundary_mass_ratio,boundary_mass_fraction,source_dispersion_mean,target_dispersion_mean,domain_to_source_dispersion_ratio,diagnostic_hint,segment_sizes
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,source_mad_l1,uniform:1,global,16,112,1.8954917174464594,2.6692351540385992,0.3680995634338469,0.37833193360329676,0.0,0.0,0.0,0.0,0.0,2.6016480095433994,2.104716242560643,0.7285734697750779,trajectory_dynamics_probe,[112]
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,joint_z_l2,uniform:1,global,16,112,3.650422050658649,2.5384737851076906,0.35714157255865703,0.34847288929388226,0.0,0.0,0.0,0.0,0.0,2.6016480095433994,2.104716242560643,1.4031191142184196,coarse_or_global_compactness,[112]
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,source_mad_l1,uniform:2,uniform:2,16,112,1.8954917174464594,2.6692351540385992,0.3680995634338469,0.37833193360329676,0.03628594940876484,0.02565804088872961,0.09186763871745851,0.67353927727369,0.018041230641259554,2.6016480095433994,2.104716242560643,0.7285734697750779,trajectory_dynamics_probe,"[56, 56]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,joint_z_l2,uniform:2,uniform:2,16,112,3.650422050658649,2.5384737851076906,0.35714157255865703,0.34847288929388226,0.038050275888380614,0.026905608106692912,0.08743824225021445,0.7339047384084822,0.019658162635941487,2.6016480095433994,2.104716242560643,1.4031191142184196,coarse_or_global_compactness,"[56, 56]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,source_mad_l1,uniform:5,uniform:5,16,112,1.8954917174464594,2.6692351540385992,0.3680995634338469,0.37833193360329676,0.2176946105632862,0.09735598951097034,0.22475844881809834,1.0880577512666842,0.11657761620714475,2.6016480095433994,2.104716242560643,0.7285734697750779,trajectory_dynamics_probe,"[23, 23, 22, 22, 22]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,joint_z_l2,uniform:5,uniform:5,16,112,3.650422050658649,2.5384737851076906,0.35714157255865703,0.34847288929388226,0.20520001223317463,0.09176823526743337,0.20289883852050827,1.0739714556466249,0.11506837024785267,2.6016480095433994,2.104716242560643,1.4031191142184196,coarse_or_global_compactness,"[23, 23, 22, 22, 22]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,source_mad_l1,uniform:10,uniform:10,16,112,1.8954917174464594,2.6692351540385992,0.3680995634338469,0.37833193360329676,0.2774567684999216,0.08773953406898118,0.25517980066485024,0.973278630760323,0.23462966991543502,2.6016480095433994,2.104716242560643,0.7285734697750779,trajectory_dynamics_probe,"[12, 12, 11, 11, 11, 11, 11, 11, 11, 11]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,joint_z_l2,uniform:10,uniform:10,16,112,3.650422050658649,2.5384737851076906,0.35714157255865703,0.34847288929388226,0.26680820836703045,0.08437216368686104,0.2325436333708082,0.9788328573817566,0.23596863526167347,2.6016480095433994,2.104716242560643,1.4031191142184196,coarse_or_global_compactness,"[12, 12, 11, 11, 11, 11, 11, 11, 11, 11]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,source_mad_l1,doy_gap:5,"mode=doy_gap, segment_count=8, gap_threshold=45, min_points=3, max_points=8, max_span=120, intervals=[12,92], [112,152], [169,197], [199,229], [232,262], [267,297], [299,329], [332,362]",16,112,1.8954917174464594,2.6692351540385992,0.3680995634338469,0.37833193360329676,0.3196997567916612,0.1130309329855368,0.23021081679410088,0.965004544628951,0.18093835211792833,2.6016480095433994,2.104716242560643,0.7285734697750779,segmented_compactness,"[15, 12, 14, 9, 15, 12, 14, 10]"
DK1_to_FR1,denmark/32VNH/2017,france/30TXT/2017,joint_z_l2,doy_gap:5,"mode=doy_gap, segment_count=8, gap_threshold=45, min_points=3, max_points=8, max_span=120, intervals=[12,92], [112,152], [169,197], [199,229], [232,262], [267,297], [299,329], [332,362]",16,112,3.650422050658649,2.5384737851076906,0.35714157255865703,0.34847288929388226,0.30539624369909646,0.10797387743426526,0.21329882905809286,0.9709076855799903,0.18204519104624817,2.6016480095433994,2.104716242560643,1.4031191142184196,segmented_compactness,"[15, 12, 14, 9, 15, 12, 14, 10]"
